Latitude,Longitude,Count
41.62,-87.54,1
41.63,-87.57000000000001,18
41.63,-87.56,74
41.63,-87.55,40
41.63,-87.54,6
41.63,-87.53,1
41.64,-87.62,21
41.64,-87.57000000000001,53
41.64,-87.56,49
41.64,-87.55,50
41.64,-87.54,6
41.65,-87.65,14
41.65,-87.64,9
41.65,-87.62,29
41.65,-87.61,49
41.65,-87.60000000000001,8
41.65,-87.56,21
41.65,-87.55,116
41.65,-87.54,13
41.660000000000004,-87.79,1
41.660000000000004,-87.65,24
41.660000000000004,-87.64,71
41.660000000000004,-87.63,39
41.660000000000004,-87.62,8
41.660000000000004,-87.57000000000001,1
41.660000000000004,-87.56,54
41.660000000000004,-87.55,23
41.67,-87.72,1
41.67,-87.68,10
41.67,-87.67,20
41.67,-87.66,41
41.67,-87.65,208
41.67,-87.64,316
41.67,-87.63,208
41.67,-87.62,125
41.67,-87.61,2
41.67,-87.56,3
41.67,-87.55,1
41.67,-87.54,1
41.68,-87.74,3
41.68,-87.72,1
41.68,-87.71000000000001,14
41.68,-87.7,4
41.68,-87.69,22
41.68,-87.68,43
41.68,-87.67,115
41.68,-87.66,108
41.68,-87.65,122
41.68,-87.64,167
41.68,-87.63,371
41.68,-87.62,167
41.68,-87.61,3
41.68,-87.57000000000001,1
41.68,-87.56,13
41.68,-87.55,7
41.68,-87.54,8
41.69,-87.72,1
41.69,-87.71000000000001,17
41.69,-87.7,14
41.69,-87.69,18
41.69,-87.68,18
41.69,-87.67,90
41.69,-87.66,258
41.69,-87.65,32
41.69,-87.64,126
41.69,-87.63,352
41.69,-87.62,89
41.69,-87.61,24
41.69,-87.57000000000001,11
41.69,-87.56,7
41.69,-87.55,58
41.69,-87.54,26
41.7,-87.72,6
41.7,-87.71000000000001,7
41.7,-87.7,3
41.7,-87.69,9
41.7,-87.68,18
41.7,-87.67,31
41.7,-87.66,77
41.7,-87.65,80
41.7,-87.64,157
41.7,-87.63,360
41.7,-87.62,82
41.7,-87.61,63
41.7,-87.60000000000001,3
41.7,-87.57000000000001,66
41.7,-87.56,41
41.7,-87.55,30
41.7,-87.54,57
41.7,-87.53,8
41.71,-87.69,3
41.71,-87.68,8
41.71,-87.67,33
41.71,-87.66,58
41.71,-87.65,29
41.71,-87.64,79
41.71,-87.63,94
41.71,-87.62,26
41.71,-87.61,23
41.71,-87.60000000000001,9
41.71,-87.58,8
41.71,-87.57000000000001,47
41.71,-87.56,88
41.71,-87.55,22
41.71,-87.54,123
41.71,-87.53,1
41.72,-87.69,3
41.72,-87.68,17
41.72,-87.67,41
41.72,-87.66,41
41.72,-87.65,55
41.72,-87.64,46
41.72,-87.63,112
41.72,-87.62,40
41.72,-87.61,135
41.72,-87.60000000000001,123
41.72,-87.59,80
41.72,-87.58,35
41.72,-87.57000000000001,47
41.72,-87.56,63
41.72,-87.55,90
41.72,-87.54,93
41.730000000000004,-87.74,4
41.730000000000004,-87.73,3
41.730000000000004,-87.72,15
41.730000000000004,-87.71000000000001,5
41.730000000000004,-87.7,5
41.730000000000004,-87.69,6
41.730000000000004,-87.68,24
41.730000000000004,-87.67,65
41.730000000000004,-87.66,86
41.730000000000004,-87.65,195
41.730000000000004,-87.64,119
41.730000000000004,-87.63,18
41.730000000000004,-87.62,21
41.730000000000004,-87.61,74
41.730000000000004,-87.60000000000001,28
41.730000000000004,-87.59,20
41.730000000000004,-87.58,16
41.730000000000004,-87.57000000000001,60
41.730000000000004,-87.56,155
41.730000000000004,-87.55,278
41.730000000000004,-87.54,4
41.74,-87.74,1
41.74,-87.73,2
41.74,-87.72,28
41.74,-87.71000000000001,19
41.74,-87.7,10
41.74,-87.69,25
41.74,-87.68,34
41.74,-87.67,48
41.74,-87.66,48
41.74,-87.65,160
41.74,-87.64,90
41.74,-87.63,20
41.74,-87.62,23
41.74,-87.61,26
41.74,-87.60000000000001,43
41.74,-87.59,76
41.74,-87.58,55
41.74,-87.57000000000001,41
41.74,-87.56,225
41.74,-87.55,210
41.74,-87.54,2
41.75,-87.8,12
41.75,-87.79,1
41.75,-87.78,2
41.75,-87.77,1
41.75,-87.75,1
41.75,-87.74,6
41.75,-87.73,3
41.75,-87.72,6
41.75,-87.71000000000001,3
41.75,-87.7,1
41.75,-87.69,21
41.75,-87.68,31
41.75,-87.67,66
41.75,-87.66,134
41.75,-87.65,178
41.75,-87.64,162
41.75,-87.63,44
41.75,-87.62,61
41.75,-87.61,135
41.75,-87.60000000000001,155
41.75,-87.59,117
41.75,-87.58,52
41.75,-87.57000000000001,63
41.75,-87.56,174
41.75,-87.55,8
41.76,-87.84,1
41.76,-87.83,2
41.76,-87.82000000000001,2
41.76,-87.8,9
41.76,-87.78,1
41.76,-87.76,2
41.76,-87.75,2
41.76,-87.74,8
41.76,-87.73,10
41.76,-87.72,11
41.76,-87.71000000000001,8
41.76,-87.7,8
41.76,-87.69,62
41.76,-87.68,281
41.76,-87.67,397
41.76,-87.66,524
41.76,-87.65,362
41.76,-87.64,319
41.76,-87.63,88
41.76,-87.62,99
41.76,-87.61,119
41.76,-87.60000000000001,203
41.76,-87.59,107
41.76,-87.58,30
41.76,-87.57000000000001,51
41.76,-87.56,11
41.77,-87.82000000000001,1
41.77,-87.81,11
41.77,-87.8,16
41.77,-87.79,9
41.77,-87.78,14
41.77,-87.77,44
41.77,-87.76,21
41.77,-87.75,7
41.77,-87.74,12
41.77,-87.73,19
41.77,-87.72,49
41.77,-87.71000000000001,54
41.77,-87.7,23
41.77,-87.69,90
41.77,-87.68,368
41.77,-87.67,531
41.77,-87.66,432
41.77,-87.65,404
41.77,-87.64,323
41.77,-87.63,107
41.77,-87.62,145
41.77,-87.61,286
41.77,-87.60000000000001,167
41.77,-87.59,66
41.77,-87.58,4
41.77,-87.57000000000001,2
41.78,-87.81,3
41.78,-87.8,8
41.78,-87.79,1
41.78,-87.78,8
41.78,-87.77,9
41.78,-87.74,5
41.78,-87.73,7
41.78,-87.72,43
41.78,-87.71000000000001,57
41.78,-87.7,22
41.78,-87.69,62
41.78,-87.68,243
41.78,-87.67,546
41.78,-87.66,667
41.78,-87.65,558
41.78,-87.64,321
41.78,-87.63,326
41.78,-87.62,158
41.78,-87.61,50
41.78,-87.60000000000001,71
41.78,-87.59,5
41.79,-87.81,3
41.79,-87.8,5
41.79,-87.79,14
41.79,-87.78,11
41.79,-87.77,34
41.79,-87.76,10
41.79,-87.75,15
41.79,-87.74,16
41.79,-87.73,11
41.79,-87.72,15
41.79,-87.71000000000001,29
41.79,-87.7,19
41.79,-87.69,34
41.79,-87.68,339
41.79,-87.67,617
41.79,-87.66,434
41.79,-87.65,689
41.79,-87.64,255
41.79,-87.63,336
41.79,-87.62,136
41.79,-87.61,24
41.79,-87.60000000000001,24
41.79,-87.59,18
41.800000000000004,-87.78,1
41.800000000000004,-87.77,7
41.800000000000004,-87.76,29
41.800000000000004,-87.75,48
41.800000000000004,-87.74,9
41.800000000000004,-87.73,17
41.800000000000004,-87.72,55
41.800000000000004,-87.71000000000001,16
41.800000000000004,-87.7,24
41.800000000000004,-87.69,92
41.800000000000004,-87.68,127
41.800000000000004,-87.67,322
41.800000000000004,-87.66,397
41.800000000000004,-87.65,359
41.800000000000004,-87.64,197
41.800000000000004,-87.63,127
41.800000000000004,-87.62,211
41.800000000000004,-87.61,71
41.800000000000004,-87.60000000000001,39
41.800000000000004,-87.59,2
41.81,-87.77,1
41.81,-87.76,17
41.81,-87.75,23
41.81,-87.74,11
41.81,-87.73,9
41.81,-87.72,4
41.81,-87.71000000000001,13
41.81,-87.7,15
41.81,-87.69,26
41.81,-87.68,33
41.81,-87.67,82
41.81,-87.66,8
41.81,-87.65,67
41.81,-87.64,228
41.81,-87.63,117
41.81,-87.62,314
41.81,-87.61,226
41.81,-87.60000000000001,57
41.82,-87.73,4
41.82,-87.72,18
41.82,-87.71000000000001,30
41.82,-87.7,31
41.82,-87.69,79
41.82,-87.68,17
41.82,-87.67,59
41.82,-87.66,36
41.82,-87.65,50
41.82,-87.64,53
41.82,-87.63,169
41.82,-87.62,134
41.82,-87.61,155
41.83,-87.74,15
41.83,-87.73,40
41.83,-87.72,30
41.83,-87.71000000000001,39
41.83,-87.69,22
41.83,-87.68,37
41.83,-87.67,59
41.83,-87.66,65
41.83,-87.65,57
41.83,-87.64,39
41.83,-87.63,71
41.83,-87.62,44
41.83,-87.61,3
41.84,-87.74,57
41.84,-87.73,51
41.84,-87.72,47
41.84,-87.71000000000001,56
41.84,-87.7,52
41.84,-87.69,30
41.84,-87.68,7
41.84,-87.67,25
41.84,-87.66,75
41.84,-87.65,34
41.84,-87.64,39
41.84,-87.63,18
41.84,-87.62,32
41.85,-87.74,151
41.85,-87.73,328
41.85,-87.72,303
41.85,-87.71000000000001,298
41.85,-87.7,61
41.85,-87.69,25
41.85,-87.68,43
41.85,-87.67,39
41.85,-87.66,45
41.85,-87.65,126
41.85,-87.64,53
41.85,-87.63,94
41.85,-87.62,6
41.86,-87.78,2
41.86,-87.77,5
41.86,-87.76,1
41.86,-87.75,46
41.86,-87.74,218
41.86,-87.73,422
41.86,-87.72,248
41.86,-87.71000000000001,312
41.86,-87.7,170
41.86,-87.69,103
41.86,-87.68,10
41.86,-87.67,31
41.86,-87.66,59
41.86,-87.65,61
41.86,-87.64,20
41.86,-87.63,51
41.86,-87.62,1
41.87,-87.78,4
41.87,-87.77,58
41.87,-87.76,42
41.87,-87.75,184
41.87,-87.74,339
41.87,-87.73,398
41.87,-87.72,210
41.87,-87.71000000000001,355
41.87,-87.7,413
41.87,-87.69,100
41.87,-87.68,22
41.87,-87.67,42
41.87,-87.66,48
41.87,-87.65,21
41.87,-87.64,12
41.87,-87.63,19
41.88,-87.78,23
41.88,-87.77,147
41.88,-87.76,188
41.88,-87.75,199
41.88,-87.74,218
41.88,-87.73,266
41.88,-87.72,158
41.88,-87.71000000000001,287
41.88,-87.7,298
41.88,-87.69,127
41.88,-87.68,63
41.88,-87.67,43
41.88,-87.66,79
41.88,-87.65,36
41.88,-87.64,7
41.88,-87.63,8
41.88,-87.62,10
41.89,-87.78,39
41.89,-87.77,96
41.89,-87.76,143
41.89,-87.75,222
41.89,-87.74,20
41.89,-87.73,275
41.89,-87.72,286
41.89,-87.71000000000001,115
41.89,-87.7,35
41.89,-87.69,45
41.89,-87.68,52
41.89,-87.67,70
41.89,-87.66,76
41.89,-87.65,21
41.89,-87.64,28
41.89,-87.63,28
41.89,-87.62,4
41.9,-87.78,15
41.9,-87.77,30
41.9,-87.76,22
41.9,-87.75,31
41.9,-87.74,47
41.9,-87.73,112
41.9,-87.72,65
41.9,-87.71000000000001,9
41.9,-87.7,62
41.9,-87.69,33
41.9,-87.68,21
41.9,-87.67,24
41.9,-87.66,38
41.9,-87.65,60
41.9,-87.64,58
41.9,-87.63,11
41.910000000000004,-87.88,1
41.910000000000004,-87.79,2
41.910000000000004,-87.78,33
41.910000000000004,-87.77,14
41.910000000000004,-87.76,57
41.910000000000004,-87.75,22
41.910000000000004,-87.74,25
41.910000000000004,-87.73,26
41.910000000000004,-87.72,59
41.910000000000004,-87.71000000000001,33
41.910000000000004,-87.7,53
41.910000000000004,-87.69,39
41.910000000000004,-87.68,40
41.910000000000004,-87.67,100
41.910000000000004,-87.66,43
41.910000000000004,-87.65,57
41.910000000000004,-87.64,17
41.92,-87.79,5
41.92,-87.78,9
41.92,-87.77,6
41.92,-87.76,4
41.92,-87.75,8
41.92,-87.74,6
41.92,-87.73,8
41.92,-87.72,11
41.92,-87.71000000000001,33
41.92,-87.7,48
41.92,-87.69,35
41.92,-87.68,33
41.92,-87.67,23
41.92,-87.66,8
41.92,-87.65,49
41.92,-87.64,27
41.93,-87.84,2
41.93,-87.82000000000001,5
41.93,-87.81,10
41.93,-87.8,3
41.93,-87.79,2
41.93,-87.78,7
41.93,-87.77,10
41.93,-87.76,6
41.93,-87.75,15
41.93,-87.74,5
41.93,-87.73,31
41.93,-87.72,24
41.93,-87.71000000000001,18
41.93,-87.7,26
41.93,-87.69,51
41.93,-87.68,59
41.93,-87.67,36
41.93,-87.66,9
41.93,-87.65,14
41.93,-87.64,11
41.94,-87.84,4
41.94,-87.83,1
41.94,-87.82000000000001,3
41.94,-87.81,2
41.94,-87.8,2
41.94,-87.79,1
41.94,-87.77,5
41.94,-87.75,6
41.94,-87.74,19
41.94,-87.73,2
41.94,-87.72,10
41.94,-87.71000000000001,6
41.94,-87.7,10
41.94,-87.69,10
41.94,-87.68,16
41.94,-87.67,18
41.94,-87.66,14
41.94,-87.65,14
41.95,-87.84,6
41.95,-87.82000000000001,2
41.95,-87.81,4
41.95,-87.8,6
41.95,-87.79,10
41.95,-87.78,5
41.95,-87.77,1
41.95,-87.76,3
41.95,-87.75,25
41.95,-87.74,11
41.95,-87.73,11
41.95,-87.72,7
41.95,-87.71000000000001,17
41.95,-87.7,3
41.95,-87.69,14
41.95,-87.68,34
41.95,-87.67,13
41.95,-87.66,24
41.95,-87.65,5
41.96,-87.85000000000001,1
41.96,-87.84,1
41.96,-87.79,6
41.96,-87.78,2
41.96,-87.77,8
41.96,-87.76,16
41.96,-87.75,19
41.96,-87.74,5
41.96,-87.73,47
41.96,-87.72,9
41.96,-87.71000000000001,12
41.96,-87.7,7
41.96,-87.69,45
41.96,-87.68,13
41.96,-87.67,23
41.96,-87.66,28
41.96,-87.65,1
41.97,-87.87,1
41.97,-87.85000000000001,1
41.97,-87.84,1
41.97,-87.82000000000001,1
41.97,-87.81,2
41.97,-87.8,5
41.97,-87.79,3
41.97,-87.78,9
41.97,-87.77,13
41.97,-87.76,5
41.97,-87.75,1
41.97,-87.74,6
41.97,-87.73,3
41.97,-87.72,8
41.97,-87.71000000000001,6
41.97,-87.7,34
41.97,-87.69,10
41.97,-87.68,4
41.97,-87.67,14
41.97,-87.66,10
41.980000000000004,-87.85000000000001,1
41.980000000000004,-87.84,1
41.980000000000004,-87.82000000000001,2
41.980000000000004,-87.81,12
41.980000000000004,-87.8,2
41.980000000000004,-87.79,3
41.980000000000004,-87.78,2
41.980000000000004,-87.77,5
41.980000000000004,-87.76,1
41.980000000000004,-87.75,3
41.980000000000004,-87.74,15
41.980000000000004,-87.73,1
41.980000000000004,-87.72,2
41.980000000000004,-87.71000000000001,4
41.980000000000004,-87.7,3
41.980000000000004,-87.68,12
41.980000000000004,-87.67,17
41.980000000000004,-87.66,5
41.99,-87.83,1
41.99,-87.82000000000001,1
41.99,-87.81,5
41.99,-87.8,6
41.99,-87.79,6
41.99,-87.77,11
41.99,-87.76,3
41.99,-87.75,3
41.99,-87.74,3
41.99,-87.73,6
41.99,-87.72,10
41.99,-87.71000000000001,8
41.99,-87.7,7
41.99,-87.69,6
41.99,-87.68,32
41.99,-87.67,2
41.99,-87.66,4
42.0,-87.83,1
42.0,-87.82000000000001,4
42.0,-87.81,1
42.0,-87.8,1
42.0,-87.79,1
42.0,-87.78,3
42.0,-87.71000000000001,26
42.0,-87.7,3
42.0,-87.69,11
42.0,-87.68,16
42.0,-87.67,12
42.0,-87.66,2
42.01,-87.83,1
42.01,-87.82000000000001,3
42.01,-87.81,1
42.01,-87.78,3
42.01,-87.71000000000001,7
42.01,-87.7,8
42.01,-87.69,19
42.01,-87.68,14
42.01,-87.67,5
42.02,-87.68,2
