Geography Type,Year,zip,total_population,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 0-4,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx,Record ID
Citywide,2021,Chicago,2696561,540255,519276,464574,338452,314035,269647,167261,83061,149430,215061.0,174812.0,2547131,2156306,373166,1387010,1309551,777744,184263.0,757971.0,887130,89453.0,Citywide-Chicago-2021
Zip Code,2021,60601,14804,999,5065,3739,1390,970,1515,910,216,359,436.0,184.0,14445,13805,1963,8260,6544,1234,3827.0,908.0,8124,711.0,ZIP_CODE-60601-2021
Zip Code,2021,60602,1142,119,163,658,67,95,33,7,0,60,59.0,0.0,1082,1023,24,540,602,311,101.0,38.0,537,155.0,ZIP_CODE-60602-2021
Zip Code,2021,60603,1275,33,399,266,81,196,191,93,16,12,11.0,10.0,1263,1242,224,595,680,78,397.0,71.0,723,6.0,ZIP_CODE-60603-2021
Zip Code,2021,60604,687,6,335,122,38,74,61,33,18,0,0.0,6.0,687,681,71,421,266,30,70.0,72.0,515,0.0,ZIP_CODE-60604-2021
Zip Code,2021,60605,32077,2841,9038,8714,3740,3127,2539,1640,438,1196,1174.0,461.0,30881,29236,3143,16395,15682,2841,4942.0,4571.0,18296,1427.0,ZIP_CODE-60605-2021
Zip Code,2021,60606,3298,121,790,1202,367,478,184,156,0,75,46.0,0.0,3223,3177,256,1567,1731,179,1087.0,16.0,1967,49.0,ZIP_CODE-60606-2021
Zip Code,2021,60607,29990,3300,11585,7356,3360,1967,1289,624,509,1622,1127.0,515.0,28368,26690,1594,14801,15189,2743,6690.0,3717.0,15534,1306.0,ZIP_CODE-60607-2021
Zip Code,2021,60608,83689,15392,19489,16442,10590,9000,7655,3393,1728,3924,6462.0,4994.0,79765,68297,8837,36923,46766,39476,11486.0,14042.0,16943,1742.0,ZIP_CODE-60608-2021
Zip Code,2021,60609,61861,15202,11900,8011,8603,7565,5743,3821,1016,3888,6090.0,5212.0,57973,46659,7772,30963,30898,33408,3924.0,14573.0,9140,816.0,ZIP_CODE-60609-2021
Zip Code,2021,60610,42422,3817,13841,8534,3536,4139,4285,2945,1325,1287,1292.0,1231.0,41135,38605,6390,22094,20328,2109,4019.0,4967.0,29571,1756.0,ZIP_CODE-60610-2021
Zip Code,2021,60611,34562,2093,8272,6821,3200,4446,4710,3601,1419,1117,590.0,386.0,33445,32469,7339,18203,16359,2232,7076.0,1077.0,23254,923.0,ZIP_CODE-60611-2021
Zip Code,2021,60612,33908,7522,6902,6022,4567,3769,3091,1459,576,1967,2924.0,2368.0,31941,26386,3386,17922,15986,5119,1535.0,18516.0,7703,1035.0,ZIP_CODE-60612-2021
Zip Code,2021,60613,53282,6579,14724,13666,5978,5383,3432,2264,1256,2936,2315.0,1328.0,50346,46703,4757,26335,26947,6124,4572.0,3140.0,37714,1732.0,ZIP_CODE-60613-2021
Zip Code,2021,60614,72119,10625,23433,14255,7267,6302,5659,3127,1451,3396,4108.0,3078.0,68723,61494,7001,35674,36445,4411,5148.0,2734.0,57602,2224.0,ZIP_CODE-60614-2021
Zip Code,2021,60615,41767,6101,11172,6657,4594,4703,4983,2358,1199,1759,2232.0,2103.0,40008,35666,5885,22768,18999,2205,3395.0,22218.0,11805,2144.0,ZIP_CODE-60615-2021
Zip Code,2021,60616,53085,7072,10961,9848,5886,7332,6280,3176,2530,2257,2503.0,2285.0,50828,46013,8695,27548,25537,3988,19773.0,12330.0,15582,1412.0,ZIP_CODE-60616-2021
Zip Code,2021,60617,84193,21647,13650,10388,10017,10635,8727,5763,3366,5041,7980.0,8626.0,79152,62546,13507,46014,38179,33740,171.0,44794.0,4880,608.0,ZIP_CODE-60617-2021
Zip Code,2021,60618,95078,20763,15721,20655,15333,10280,6732,3849,1745,6673,7628.0,6390.0,88405,74315,8176,47846,47232,36407,6077.0,2417.0,45911,4266.0,ZIP_CODE-60618-2021
Zip Code,2021,60619,63481,13711,8621,8675,7304,9386,8234,4333,3217,3597,5124.0,4987.0,59884,49770,11094,35506,27975,1043,168.0,60173.0,607,1490.0,ZIP_CODE-60619-2021
Zip Code,2021,60620,69357,16375,11103,7892,8218,9119,7917,5087,3646,4566,6255.0,5554.0,64791,52982,12580,38240,31117,1937,204.0,65454.0,774,988.0,ZIP_CODE-60620-2021
Zip Code,2021,60621,26538,7066,4325,2919,2744,3611,3047,1585,1241,2069,2730.0,2257.0,24469,19472,4039,13937,12601,959,144.0,24499.0,398,538.0,ZIP_CODE-60621-2021
Zip Code,2021,60622,54650,7711,14330,17062,6684,3977,2478,1426,982,3549,2446.0,1701.0,51101,46939,3568,27177,27473,11270,2605.0,3189.0,35064,2522.0,ZIP_CODE-60622-2021
Zip Code,2021,60623,77352,20412,14022,11283,9656,8521,6635,4999,1824,5125,8375.0,6912.0,72227,56940,9860,39857,37495,51574,263.0,21992.0,3002,521.0,ZIP_CODE-60623-2021
Zip Code,2021,60624,36986,9901,7066,4505,4707,4350,3824,1591,1042,2668,3727.0,3498.0,34318,27085,4110,19078,17908,2859,137.0,32122.0,1262,606.0,ZIP_CODE-60624-2021
Zip Code,2021,60625,80028,15667,14404,17535,11247,9346,6949,3029,1851,4751,5979.0,4797.0,75277,64361,8047,40506,39522,25898,10121.0,3780.0,37163,3066.0,ZIP_CODE-60625-2021
Zip Code,2021,60632,87395,23015,17076,12882,10088,10607,6700,5277,1750,6159,8628.0,8227.0,81236,64380,9802,42553,44842,72204,6020.0,881.0,7916,374.0,ZIP_CODE-60632-2021
Zip Code,2021,60633,12674,2808,2068,1784,1207,2117,1391,792,507,696,1193.0,909.0,11978,9866,1926,6467,6207,5271,10.0,3295.0,4039,59.0,ZIP_CODE-60633-2021
Zip Code,2021,60634,77520,15738,10821,10920,11140,12006,8785,5645,2465,3661,5869.0,6201.0,73859,61782,11458,40219,37301,31680,4147.0,1919.0,38741,1033.0,ZIP_CODE-60634-2021
Zip Code,2021,60636,30412,6796,4736,3468,3139,3953,3405,3498,1417,2017,2411.0,2368.0,28395,23616,6266,15764,14648,4273,49.0,25213.0,341,536.0,ZIP_CODE-60636-2021
Zip Code,2021,60637,49514,11594,12076,5686,5685,5273,5224,2561,1415,2670,4530.0,4278.0,46844,37920,6060,27240,22274,1377,2503.0,36352.0,7374,1908.0,ZIP_CODE-60637-2021
Zip Code,2021,60638,58959,14291,7806,9061,8027,8239,6491,2894,2150,3653,5613.0,5025.0,55306,44668,8057,28947,30012,32605,384.0,1583.0,23996,391.0,ZIP_CODE-60638-2021
Zip Code,2021,60639,89037,23367,14895,13204,12078,9824,8980,4439,2250,5889,8890.0,8587.0,83148,65670,10528,45013,44024,66456,1772.0,11773.0,8026,1010.0,ZIP_CODE-60639-2021
Zip Code,2021,60640,67936,8275,14058,14701,9720,9101,5610,3493,2978,3011,3162.0,2087.0,64925,59661,8976,32418,35518,9246,7216.0,11301.0,37673,2500.0,ZIP_CODE-60640-2021
